id	descendant
0001311	0001340
0001311	0001351
0001312	0001312
0001326	0001326
0001327	0001327
0001340	0001340
0001341	0001341
0001343	0001343
0001345	0001345
0001351	0001351
0001361	0001361
0001384	0001384
0001401	0001401
0001403	0001403
0001404	0001404
0001405	0001405
0001412	0001412
0001430	0001430
0001435	0001435
0001435	0001464
0001436	0001436
0001437	0001430
0001437	0001436
0001437	0001437
0001440	0001440
0001442	0001442
0001444	0001444
0001449	0001449
0001450	0001450
0001452	0001452
0001459	0001459
0001460	0001460
0001460	0001464
0001464	0001464
0001470	0001470
0001470	0001475
0001473	0001473
0001474	0001474
0001475	0001475
0001477	0001477
0001483	0001483
0001489	0001489
0001491	0001491
0001492	0001492
0001493	0001493
0001495	0001495
0001500	0001222
0001500	0001500
0001501	0001501
0001504	0001504
0001530	0001530
0001544	0001544
0001551	0001544
0001551	0001551
0001557	0001557
0001560	0001560
0001560	0001563
0001563	0001563
0001571	0001571
0001574	0000196
0001574	0000214
0001574	0000222
0001574	0000227
0001574	0000434
0001574	0000599
0001574	0000607
0001574	0000971
0001574	0000993
0001574	0000997
0001574	0000999
0001574	0001001
0001574	0001005
0001574	0001008
0001574	0001013
0001574	0001014
0001574	0001017
0001574	0001018
0001574	0001024
0001574	0001026
0001574	0001027
0001574	0001033
0001574	0001038
0001574	0001039
0001574	0001040
0001574	0001041
0001574	0001042
0001574	0001043
0001574	0001050
0001574	0001054
0001574	0001055
0001574	0001060
